Date,Ransomware-ALL,Cryptojacking-ALL,Mentions-Ransomware,Mentions-Cryptojacking,Mentions-WannaCry Ransomware,Mentions-Data Poisoning,Mentions-Deepfake,Mentions-IoT Device Attack,Mentions-Adversarial Attack,CONFLICT-ALL,Holidays,Political Anniversary-ALL,Internet User Percentage
Jul-11,0,0,0,0,0,0,0,0,0,433,11,175,58.2
Aug-11,0,0,0,0,0,0,0,0,0,412,28,178,58.42
Sep-11,0,0,0,0,0,0,0,0,1,211,28,161,58.64
Oct-11,0,0,0,0,0,0,0,0,4,384,37,171,58.85
Nov-11,0,0,0,0,0,0,0,0,0,264,43,170,59.05
Dec-11,0,0,0,0,0,0,0,0,0,182,64,172,59.05
Jan-12,0,0,0,0,0,0,0,0,0,237,73,168,59.25
Feb-12,0,0,0,0,0,0,0,0,0,306,16,157,59.44
Mar-12,0,0,0,0,0,0,0,0,0,368,18,188,59.64
Apr-12,0,0,0,0,0,0,0,0,0,347,64,176,59.83
May-12,0,0,0,0,0,0,0,0,0,370,59,183,60.04
Jun-12,0,0,0,0,0,0,0,0,0,403,25,164,60.25
Jul-12,0,0,0,0,0,0,0,0,0,410,12,175,60.47
Aug-12,0,0,0,0,0,0,0,0,1,372,36,178,60.7
Sep-12,0,0,0,0,0,0,0,0,2,370,25,161,60.96
Oct-12,0,0,0,0,0,0,0,3,0,436,50,171,61.23
Nov-12,0,0,0,0,0,0,0,0,0,425,29,170,61.52
Dec-12,1,0,0,0,0,0,0,0,0,375,61,172,61.52
Jan-13,0,0,0,0,0,0,0,0,0,423,56,168,61.83
Feb-13,0,0,0,0,0,0,0,0,0,478,29,157,62.16
Mar-13,0,0,0,0,0,0,0,0,0,549,44,188,62.5
Apr-13,0,0,0,0,0,0,0,0,1,494,32,176,62.86
May-13,0,0,0,0,0,0,0,0,2,550,66,183,63.22
Jun-13,0,0,0,0,0,0,0,0,14,494,21,164,63.58
Jul-13,0,0,0,0,0,0,0,0,0,489,11,175,63.94
Aug-13,0,0,0,0,0,0,0,0,2,510,36,178,64.29
Sep-13,0,0,0,0,0,0,0,0,0,576,32,161,64.62
Oct-13,0,0,0,0,0,0,0,0,1,517,39,171,64.94
Nov-13,0,0,0,0,0,0,0,0,0,595,30,170,65.24
Dec-13,0,0,0,0,0,0,0,0,0,517,55,172,65.24
Jan-14,0,0,14,0,0,0,0,0,4,660,63,168,65.52
Feb-14,0,0,0,0,0,0,0,0,1,614,17,157,65.77
Mar-14,0,0,6,0,0,0,0,0,0,706,19,188,66
Apr-14,0,0,0,0,0,0,0,0,0,662,59,176,66.21
May-14,0,0,0,0,0,0,0,0,0,771,54,183,66.41
Jun-14,0,0,0,0,0,0,0,0,1,761,35,164,66.59
Jul-14,0,0,0,0,0,0,0,0,0,790,26,175,66.76
Aug-14,0,0,0,0,0,0,0,0,1,841,20,178,66.92
Sep-14,0,0,0,0,0,0,0,0,1,828,22,161,67.08
Oct-14,1,0,0,0,0,0,0,0,0,831,57,171,67.24
